cf,name,last_name,birthdate,gender,city,gen1,gen2,partner_of
CRMLSN18A10D205E,Luisiana,Ciaramelli,2018-01-10,F,CUNEO,CRMMMM95P11D205D,DDNPLN90L14G713Y,
BNZLVO14R25B429B,Olivia,Benizzi,2014-10-25,F,CALTANISSETTA,BNZMTT95A11B429M,CMBVTR89D19D086X,
BNZCLL18P01B429T,Camillo,Benizzi,2018-09-01,M,CALTANISSETTA,BNZMTT95A11B429M,CMBVTR89D19D086X,
BNZGTN16D29B429I,Agostino,Benizzi,2016-04-29,M,CALTANISSETTA,BNZMTT95A11B429M,CMBVTR89D19D086X,
BNZPRN14B03B429M,Pierina,Benizzi,2014-02-03,F,CALTANISSETTA,BNZMTT95A11B429M,CMBVTR89D19D086X,
BNZDRN13S14B429O,Doriana,Benizzi,2013-11-14,F,CALTANISSETTA,BNZMTT95A11B429M,CMBVTR89D19D086X,
BNCSAI20P15D643S,Asia,Bianchella,1920-09-15,F,FOGGIA,,,RTSGDU20S25D643D
FZAYLN26M18F952J,Ylenia,Fazio,1926-08-18,F,NOVARA,,,RGNSRG27T10F952A
RLLDNI24D14B832E,Dina,Ralli,1924-04-14,F,CARRARA,,,LDNDBR20T02G713Y
SCRLNE27T02A462E,Eliana,Scarsella,1927-12-02,F,ASCOLI PICENO,,,GRGTBO38L18L049A
MZZDVD18S08A271D,Davide,Mazzocco,1918-11-08,M,ANCONA,,,PGTMAI34S21A462L
LAOLDL25A17L736P,Landolfo,Lao,1925-01-17,M,VENEZIA,,,RVZDNI37D25L736J
GNCLND16S30G388Z,Iolanda,Genchi,1916-11-30,F,PAVIA,,,CRNPMP18R11G388R
SCSRND29P13B745W,Armando,Sciasci,1929-09-13,M,CARBONIA,,,CSTMRZ42E17E281H
SCNRML28D29L682G,Romolo,Scannapieco,1928-04-29,M,VARESE,,,CTTVTR43M07L682U
MCCWND14S15M082W,Wanda,Mucciaccia,1914-11-15,F,VITERBO,,,GNMSRA21H05M082E
BNRDLB31L29G713R,Doralba,Buonaroti,1931-07-29,F,PISTOIA,,,GLLLCD36C06G713J
VRCSMN23L05E648S,Simone,Vuerich,1923-07-05,M,LODI,,,GRZMRT36D22I829P
MRZMDE22H27A794D,Emidio,Marazza,1922-06-27,M,BERGAMO,,,RMNGTN20E24A794D
RMETZN26D06G999S,Tiziana,Eramo,1926-04-06,F,PRATO,,,LFNGTN14L30G999B
PLLLNS32R06D223M,Alfonsino,Pallitto,1932-10-06,M,OSSOLA,,,MRSMCL34H15D223E
RTSGDU20S25D643D,Guido,Ortuso,1920-11-25,M,FOGGIA,,,BNCSAI20P15D643S
RGNSRG27T10F952A,Sergio,Aragni,1927-12-10,M,NOVARA,,,FZAYLN26M18F952J
LDNDBR20T02G713Y,Adalberto,Ladini,1920-12-02,M,PISTOIA,,,RLLDNI24D14B832E
GRGTBO38L18L049A,Tobia,Grignani,1938-07-18,M,TARANTO,,,SCRLNE27T02A462E
PGTMAI34S21A462L,Maia,Pagotto,1934-11-21,F,ASCOLI PICENO,,,MZZDVD18S08A271D
RVZDNI37D25L736J,Dina,Ravizzini,1937-04-25,F,VENEZIA,,,LAOLDL25A17L736P
CRNPMP18R11G388R,Pompeo,Carani,1918-10-11,M,PAVIA,,,GNCLND16S30G388Z
CSTMRZ42E17E281H,Marzia,Costantino,1942-05-17,F,IGLESIAS,,,SCSRND29P13B745W
CTTVTR43M07L682U,Vittoriana,Cetto,1943-08-07,F,VARESE,,,SCNRML28D29L682G
GNMSRA21H05M082E,Saro,Ginami,1921-06-05,M,VITERBO,,,MCCWND14S15M082W
GLLLCD36C06G713J,Alcide,Galliazzo,1936-03-06,M,PISTOIA,,,BNRDLB31L29G713R
GRZMRT36D22I829P,Marta,Graziano,1936-04-22,F,SONDRIO,,,VRCSMN23L05E648S
RMNGTN20E24A794D,Gaetana,Roman,1920-05-24,F,BERGAMO,,,MRZMDE22H27A794D
LFNGTN14L30G999B,Gaetano,Lafiandra,1914-07-30,M,PRATO,,,RMETZN26D06G999S
MRSMCL34H15D223E,Micol,Mursia,1934-06-15,F,OSSOLA,,,PLLLNS32R06D223M
RGNFNN46B13F952B,Fernando,Aragni,1946-02-13,M,NOVARA,FZAYLN26M18F952J,RGNSRG27T10F952A,MZZTRS56E07A271M
RGNLVC45H19F952Q,Ludovico,Aragni,1945-06-19,M,NOVARA,FZAYLN26M18F952J,RGNSRG27T10F952A,LFNVNN48A10G999E
RGNVND44D24F952P,Vanda,Aragni,1944-04-24,F,NOVARA,FZAYLN26M18F952J,RGNSRG27T10F952A,PLLPLG56B21D223D
RGNCDD46A11F952V,Candida,Aragni,1946-01-11,F,NOVARA,FZAYLN26M18F952J,RGNSRG27T10F952A,LAOSRA56H12L736Z
LDNGDN45L07B832M,Giordana,Ladini,1945-07-07,F,CARRARA,RLLDNI24D14B832E,LDNDBR20T02G713Y,VRCSNT58C23E648K
LDNRLN46T16B832E,Rosalinda,Ladini,1946-12-16,F,CARRARA,RLLDNI24D14B832E,LDNDBR20T02G713Y,GLLMDA57L22G713H
LDNSNN47M19B832G,Susanna,Ladini,1947-08-19,F,CARRARA,RLLDNI24D14B832E,LDNDBR20T02G713Y,LFNDRA48R11G999T
LDNMMM44H03B832E,Mimma,Ladini,1944-06-03,F,CARRARA,RLLDNI24D14B832E,LDNDBR20T02G713Y,GRGFNC55A06A462Y
LDNCMB44R19B832P,Colomba,Ladini,1944-10-19,F,CARRARA,RLLDNI24D14B832E,LDNDBR20T02G713Y,SCSSML63R21B745G
LDNFBL47T16B832N,Fabiola,Ladini,1947-12-16,F,CARRARA,RLLDNI24D14B832E,LDNDBR20T02G713Y,SCSRMN60A10B745X
GRGCSR57C25A462I,Cesare,Grignani,1957-03-25,M,ASCOLI PICENO,SCRLNE27T02A462E,GRGTBO38L18L049A,PLLRSR58H06D223E
GRGCLS55H08A462P,Callisto,Grignani,1955-06-08,M,ASCOLI PICENO,SCRLNE27T02A462E,GRGTBO38L18L049A,MZZGDI58E28A271U
GRGGDE55M20A462T,Egidia,Grignani,1955-08-20,F,ASCOLI PICENO,SCRLNE27T02A462E,GRGTBO38L18L049A,MZZCRI57P05A271C
GRGSCN53T10A462F,Ascanio,Grignani,1953-12-10,M,ASCOLI PICENO,SCRLNE27T02A462E,GRGTBO38L18L049A,GLLGPP57P24G713P
GRGLDA55S29A462I,Alda,Grignani,1955-11-29,F,ASCOLI PICENO,SCRLNE27T02A462E,GRGTBO38L18L049A,GNMMRN42H26M082U
GRGRBN55D21A462U,Rubina,Grignani,1955-04-21,F,ASCOLI PICENO,SCRLNE27T02A462E,GRGTBO38L18L049A,GNMSDR43L19M082W
GRGFNC55A06A462Y,Francesco,Grignani,1955-01-06,M,ASCOLI PICENO,SCRLNE27T02A462E,GRGTBO38L18L049A,LDNMMM44H03B832E
GRGMNZ55E06A462K,Amanzia,Grignani,1955-05-06,F,ASCOLI PICENO,SCRLNE27T02A462E,GRGTBO38L18L049A,LFNNLN47B27G999V
GRGVNI55A04A462O,Ivano,Grignani,1955-01-04,M,ASCOLI PICENO,SCRLNE27T02A462E,GRGTBO38L18L049A,LAORCE54E14L736T
GRGLNE54P03A462Z,Eliana,Grignani,1954-09-03,F,ASCOLI PICENO,SCRLNE27T02A462E,GRGTBO38L18L049A,GNMSRG43S07M082P
MZZCRI57P05A271C,Ciro,Mazzocco,1957-09-05,M,ANCONA,MZZDVD18S08A271D,PGTMAI34S21A462L,GRGGDE55M20A462T
MZZGDI58E28A271U,Giada,Mazzocco,1958-05-28,F,ANCONA,MZZDVD18S08A271D,PGTMAI34S21A462L,GRGCLS55H08A462P
MZZMSM55T23A271Z,Massimiliana,Mazzocco,1955-12-23,F,ANCONA,MZZDVD18S08A271D,PGTMAI34S21A462L,LAOQRN55A04L736W
MZZTRS56E07A271M,Teresa,Mazzocco,1956-05-07,F,ANCONA,MZZDVD18S08A271D,PGTMAI34S21A462L,RGNFNN46B13F952B
MZZGNE54M21A271P,Eugenia,Mazzocco,1954-08-21,F,ANCONA,MZZDVD18S08A271D,PGTMAI34S21A462L,LAOGTN54P18L736E
MZZCSR58B24A271L,Cesare,Mazzocco,1958-02-24,M,ANCONA,MZZDVD18S08A271D,PGTMAI34S21A462L,LFNLMP45D12G999B
LAOMLD58D26L736V,Mafalda,Lao,1958-04-26,F,VENEZIA,LAOLDL25A17L736P,RVZDNI37D25L736J,SCSPIO59M18B745N
LAOGTN54P18L736E,Gastone,Lao,1954-09-18,M,VENEZIA,LAOLDL25A17L736P,RVZDNI37D25L736J,MZZGNE54M21A271P
LAOSRA56H12L736Z,Saro,Lao,1956-06-12,M,VENEZIA,LAOLDL25A17L736P,RVZDNI37D25L736J,RGNCDD46A11F952V
LAOFMN57H13L736M,Flaminia,Lao,1957-06-13,F,VENEZIA,LAOLDL25A17L736P,RVZDNI37D25L736J,LFNGCH43S25G999N
LAOQRN55A04L736W,Quirino,Lao,1955-01-04,M,VENEZIA,LAOLDL25A17L736P,RVZDNI37D25L736J,MZZMSM55T23A271Z
LAOPTR53T11L736I,Pietro,Lao,1953-12-11,M,VENEZIA,LAOLDL25A17L736P,RVZDNI37D25L736J,GNMDGS43A31M082U
LAORCE54E14L736T,Erica,Lao,1954-05-14,F,VENEZIA,LAOLDL25A17L736P,RVZDNI37D25L736J,GRGVNI55A04A462O
SCSRMN60A10B745X,Romano,Sciasci,1960-01-10,M,CARBONIA,SCSRND29P13B745W,CSTMRZ42E17E281H,LDNFBL47T16B832N
SCSVNC63H11B745K,Veronica,Sciasci,1963-06-11,F,CARBONIA,SCSRND29P13B745W,CSTMRZ42E17E281H,PLLBND56R27D223B
SCSMTT61L24B745H,Mattia,Sciasci,1961-07-24,M,CARBONIA,SCSRND29P13B745W,CSTMRZ42E17E281H,LFNGNE44A14G999K
SCSPIO59M18B745N,Pio,Sciasci,1959-08-18,M,CARBONIA,SCSRND29P13B745W,CSTMRZ42E17E281H,LAOMLD58D26L736V
SCSLLE59L14B745M,Lelio,Sciasci,1959-07-14,M,CARBONIA,SCSRND29P13B745W,CSTMRZ42E17E281H,SCNBGD60S17L682H
SCSNRN61H04B745H,Andreina,Sciasci,1961-06-04,F,CARBONIA,SCSRND29P13B745W,CSTMRZ42E17E281H,GLLGLI55D18G713U
SCSSML63R21B745G,Samuele,Sciasci,1963-10-21,M,CARBONIA,SCSRND29P13B745W,CSTMRZ42E17E281H,LDNCMB44R19B832P
SCSLVR62H26B745U,Alvaro,Sciasci,1962-06-26,M,CARBONIA,SCSRND29P13B745W,CSTMRZ42E17E281H,GLLCTN56T17G713L
SCNBGD60S17L682H,Brigida,Scannapieco,1960-11-17,F,VARESE,SCNRML28D29L682G,CTTVTR43M07L682U,SCSLLE59L14B745M
GNMSDR43L19M082W,Sandro,Ginami,1943-07-19,M,VITERBO,MCCWND14S15M082W,GNMSRA21H05M082E,GRGRBN55D21A462U
GNMDGS43A31M082U,Adalgisa,Ginami,1943-01-31,F,VITERBO,MCCWND14S15M082W,GNMSRA21H05M082E,LAOPTR53T11L736I
GNMNLM39M25M082U,Anselmo,Ginami,1939-08-25,M,VITERBO,MCCWND14S15M082W,GNMSRA21H05M082E,VRCVTR58E11E648B
GNMCTL43A27M082B,Clotilde,Ginami,1943-01-27,F,VITERBO,MCCWND14S15M082W,GNMSRA21H05M082E,PLLZNE57P03D223K
GNMSRG43S07M082P,Sergio,Ginami,1943-11-07,M,VITERBO,MCCWND14S15M082W,GNMSRA21H05M082E,GRGLNE54P03A462Z
GNMMRN42H26M082U,Marino,Ginami,1942-06-26,M,VITERBO,MCCWND14S15M082W,GNMSRA21H05M082E,GRGLDA55S29A462I
GNMLRC42L17M082W,Alberico,Ginami,1942-07-17,M,VITERBO,MCCWND14S15M082W,GNMSRA21H05M082E,VRCVTT55C10E648X
GNMCRN41H03M082Z,Caterino,Ginami,1941-06-03,M,VITERBO,MCCWND14S15M082W,GNMSRA21H05M082E,LFNRNN47L15G999O
GLLCTN56T17G713L,Costanza,Galliazzo,1956-12-17,F,PISTOIA,BNRDLB31L29G713R,GLLLCD36C06G713J,SCSLVR62H26B745U
GLLGLI55D18G713U,Giulio,Galliazzo,1955-04-18,M,PISTOIA,BNRDLB31L29G713R,GLLLCD36C06G713J,SCSNRN61H04B745H
GLLGPP57P24G713P,Giuseppina,Galliazzo,1957-09-24,F,PISTOIA,BNRDLB31L29G713R,GLLLCD36C06G713J,GRGSCN53T10A462F
GLLLSE54D07G713Z,Elisa,Galliazzo,1954-04-07,F,PISTOIA,BNRDLB31L29G713R,GLLLCD36C06G713J,PLLVCN55S12D223G
GLLMDA57L22G713H,Amadeo,Galliazzo,1957-07-22,M,PISTOIA,BNRDLB31L29G713R,GLLLCD36C06G713J,LDNRLN46T16B832E
GLLTZN55T14G713C,Tiziana,Galliazzo,1955-12-14,F,PISTOIA,BNRDLB31L29G713R,GLLLCD36C06G713J,PLLSST55H17D223H
VRCVTT55C10E648X,Violetta,Vuerich,1955-03-10,F,LODI,VRCSMN23L05E648S,GRZMRT36D22I829P,GNMLRC42L17M082W
VRCVTR58E11E648B,Vittoria,Vuerich,1958-05-11,F,LODI,VRCSMN23L05E648S,GRZMRT36D22I829P,GNMNLM39M25M082U
VRCSNT58C23E648K,Sante,Vuerich,1958-03-23,M,LODI,VRCSMN23L05E648S,GRZMRT36D22I829P,LDNGDN45L07B832M
LFNGCH43S25G999N,Gioacchino,Lafiandra,1943-11-25,M,PRATO,RMETZN26D06G999S,LFNGTN14L30G999B,LAOFMN57H13L736M
LFNGNE44A14G999K,Eugenia,Lafiandra,1944-01-14,F,PRATO,RMETZN26D06G999S,LFNGTN14L30G999B,SCSMTT61L24B745H
LFNVNN48A10G999E,Vanna,Lafiandra,1948-01-10,F,PRATO,RMETZN26D06G999S,LFNGTN14L30G999B,RGNLVC45H19F952Q
LFNDRA48R11G999T,Dario,Lafiandra,1948-10-11,M,PRATO,RMETZN26D06G999S,LFNGTN14L30G999B,LDNSNN47M19B832G
LFNNLN47B27G999V,Napoleone,Lafiandra,1947-02-27,M,PRATO,RMETZN26D06G999S,LFNGTN14L30G999B,GRGMNZ55E06A462K
LFNRNN47L15G999O,Ermanna,Lafiandra,1947-07-15,F,PRATO,RMETZN26D06G999S,LFNGTN14L30G999B,GNMCRN41H03M082Z
LFNLMP45D12G999B,Olimpia,Lafiandra,1945-04-12,F,PRATO,RMETZN26D06G999S,LFNGTN14L30G999B,MZZCSR58B24A271L
LFNSST44H19G999F,Sebastiano,Lafiandra,1944-06-19,M,PRATO,RMETZN26D06G999S,LFNGTN14L30G999B,PLLVCN56M14D223R
PLLBND56R27D223B,Abbondio,Pallitto,1956-10-27,M,OSSOLA,PLLLNS32R06D223M,MRSMCL34H15D223E,SCSVNC63H11B745K
PLLVCN55S12D223G,Vincenzo,Pallitto,1955-11-12,M,OSSOLA,PLLLNS32R06D223M,MRSMCL34H15D223E,GLLLSE54D07G713Z
PLLSST55H17D223H,Sisto,Pallitto,1955-06-17,M,OSSOLA,PLLLNS32R06D223M,MRSMCL34H15D223E,GLLTZN55T14G713C
PLLRMN58R30D223M,Romano,Pallitto,1958-10-30,M,OSSOLA,PLLLNS32R06D223M,MRSMCL34H15D223E,
PLLPLG56B21D223D,Pellegrino,Pallitto,1956-02-21,M,OSSOLA,PLLLNS32R06D223M,MRSMCL34H15D223E,RGNVND44D24F952P
PLLRSR58H06D223E,Rosaria,Pallitto,1958-06-06,F,OSSOLA,PLLLNS32R06D223M,MRSMCL34H15D223E,GRGCSR57C25A462I
PLLZNE57P03D223K,Zeno,Pallitto,1957-09-03,M,OSSOLA,PLLLNS32R06D223M,MRSMCL34H15D223E,GNMCTL43A27M082B
PLLVCN56M14D223R,Vincenzina,Pallitto,1956-08-14,F,OSSOLA,PLLLNS32R06D223M,MRSMCL34H15D223E,LFNSST44H19G999F
PLLGPP75R09D223G,Giuseppe,Pallitto,1975-10-09,M,OSSOLA,PLLPLG56B21D223D,RGNVND44D24F952P,SCSCLI80S26B745T
PLLRNI74A07D223P,Irene,Pallitto,1974-01-07,F,OSSOLA,PLLPLG56B21D223D,RGNVND44D24F952P,GRGVTI76A28A462Z
PLLMGH76B05D223B,Margherita,Pallitto,1976-02-05,F,OSSOLA,PLLPLG56B21D223D,RGNVND44D24F952P,GRGNRC75H05A462M
PLLFNC74T10D223V,Francesco,Pallitto,1974-12-10,M,OSSOLA,PLLPLG56B21D223D,RGNVND44D24F952P,GRGSRG76A20A462W
PLLVTI73T10D223K,Vito,Pallitto,1973-12-10,M,OSSOLA,PLLPLG56B21D223D,RGNVND44D24F952P,PLLYND74E03D223P
LAOCLD78R22L736G,Cataldo,Lao,1978-10-22,M,VENEZIA,LAOSRA56H12L736Z,RGNCDD46A11F952V,SCSSMN82C30B745K
LAOLRD75P07L736V,Alfredo,Lao,1975-09-07,M,VENEZIA,LAOSRA56H12L736Z,RGNCDD46A11F952V,PLLGLL76R28D223E
GLLFLR76E25G713E,Flora,Galliazzo,1976-05-25,F,PISTOIA,GLLMDA57L22G713H,LDNRLN46T16B832E,PLLDMA73T13D223U
LFNTZN64D30G999P,Tiziana,Lafiandra,1964-04-30,F,PRATO,LFNDRA48R11G999T,LDNSNN47M19B832G,LFNRML77C23G999O
LFNNNA65R15G999F,Anna,Lafiandra,1965-10-15,F,PRATO,LFNDRA48R11G999T,LDNSNN47M19B832G,GNMVSC74T23M082V
LFNCSR64L12G999Q,Cesare,Lafiandra,1964-07-12,M,PRATO,LFNDRA48R11G999T,LDNSNN47M19B832G,GLLLLN79B17G713D
LFNVNI65E23G999R,Ivano,Lafiandra,1965-05-23,M,PRATO,LFNDRA48R11G999T,LDNSNN47M19B832G,SCSGNS79P02B745J
LFNSNN67S13G999X,Susanna,Lafiandra,1967-11-13,F,PRATO,LFNDRA48R11G999T,LDNSNN47M19B832G,SCSLDA79P13B745M
LFNNTL65M31G999J,Natale,Lafiandra,1965-08-31,M,PRATO,LFNDRA48R11G999T,LDNSNN47M19B832G,GNMNNZ74B26M082M
GRGFRC73S15A462Y,Federica,Grignani,1973-11-15,F,ASCOLI PICENO,GRGFNC55A06A462Y,LDNMMM44H03B832E,PLLLPA76E28D223Y
GRGVRN76D14A462T,Valeriana,Grignani,1976-04-14,F,ASCOLI PICENO,GRGFNC55A06A462Y,LDNMMM44H03B832E,
GRGGVF76T25A462K,Genoveffa,Grignani,1976-12-25,F,ASCOLI PICENO,GRGFNC55A06A462Y,LDNMMM44H03B832E,PLLMSM75E12D223E
GRGRRA75L05A462B,Aurora,Grignani,1975-07-05,F,ASCOLI PICENO,GRGFNC55A06A462Y,LDNMMM44H03B832E,
GRGFLV75B08A462I,Flavia,Grignani,1975-02-08,F,ASCOLI PICENO,GRGFNC55A06A462Y,LDNMMM44H03B832E,RGNCSS66R24F952M
GRGPLN74S15A462Q,Paolina,Grignani,1974-11-15,F,ASCOLI PICENO,GRGFNC55A06A462Y,LDNMMM44H03B832E,
GRGLEO76T21A462K,Leo,Grignani,1976-12-21,M,ASCOLI PICENO,GRGFNC55A06A462Y,LDNMMM44H03B832E,SCSRGR83C29B745E
GRGGBB76B25A462I,Giacobbe,Grignani,1976-02-25,M,ASCOLI PICENO,GRGFNC55A06A462Y,LDNMMM44H03B832E,GNMVNA77S12M082Z
SCSNLC81C23B745K,Angelica,Sciasci,1981-03-23,F,CARBONIA,SCSSML63R21B745G,LDNCMB44R19B832P,GNMCMN78D08M082A
SCSTMS83C27B745G,Tommasina,Sciasci,1983-03-27,F,CARBONIA,SCSSML63R21B745G,LDNCMB44R19B832P,RGNLRT75B05F952N
SCSCLI80S26B745T,Clio,Sciasci,1980-11-26,F,CARBONIA,SCSSML63R21B745G,LDNCMB44R19B832P,PLLGPP75R09D223G
SCSGNS79P02B745J,Agnese,Sciasci,1979-09-02,F,CARBONIA,SCSRMN60A10B745X,LDNFBL47T16B832N,LFNVNI65E23G999R
SCSCML80P07B745B,Carmela,Sciasci,1980-09-07,F,CARBONIA,SCSRMN60A10B745X,LDNFBL47T16B832N,SCSDRA80S05B745M
MZZGVF77S23A271O,Genoveffa,Mazzocco,1977-11-23,F,ANCONA,MZZCRI57P05A271C,GRGGDE55M20A462T,PLLRCC78M16D223O
MZZMNO75E30A271D,Monia,Mazzocco,1975-05-30,F,ANCONA,MZZCRI57P05A271C,GRGGDE55M20A462T,GNMRRT78M13M082L
MZZSDR77B04A271X,Sandra,Mazzocco,1977-02-04,F,ANCONA,MZZCRI57P05A271C,GRGGDE55M20A462T,SCSRNR82T06B745J
GNMRSR75P02M082S,Rosario,Ginami,1975-09-02,M,VITERBO,GNMMRN42H26M082U,GRGLDA55S29A462I,GRGRGN74C26A462Z
GNMRRT78M13M082L,Roberto,Ginami,1978-08-13,M,VITERBO,GNMMRN42H26M082U,GRGLDA55S29A462I,MZZMNO75E30A271D
GNMJCP77H28M082H,Jacopo,Ginami,1977-06-28,M,VITERBO,GNMMRN42H26M082U,GRGLDA55S29A462I,LFNLNI76A20G999W
GNMFMN78E28M082H,Flaminia,Ginami,1978-05-28,F,VITERBO,GNMMRN42H26M082U,GRGLDA55S29A462I,LFNGRL74M15G999I
GNMPMP75M13M082M,Pompeo,Ginami,1975-08-13,M,VITERBO,GNMMRN42H26M082U,GRGLDA55S29A462I,RGNCSM68S03F952I
GNMFPP75R09M082Q,Filippo,Ginami,1975-10-09,M,VITERBO,GNMSRG43S07M082P,GRGLNE54P03A462Z,GRGSNL77H07A462S
GNMWTR75C18M082Q,Walter,Ginami,1975-03-18,M,VITERBO,GNMSRG43S07M082P,GRGLNE54P03A462Z,LAOSDR77L01L736B
GNMGTV75C04M082T,Gustava,Ginami,1975-03-04,F,VITERBO,GNMSRG43S07M082P,GRGLNE54P03A462Z,SCSLVR78S29B745D
GNMCLO75L22M082V,Cloe,Ginami,1975-07-22,F,VITERBO,GNMSRG43S07M082P,GRGLNE54P03A462Z,PLLBNT74C29D223U
GNMNNZ74B26M082M,Annunziata,Ginami,1974-02-26,F,VITERBO,GNMSRG43S07M082P,GRGLNE54P03A462Z,LFNNTL65M31G999J
GRGNRC75H05A462M,Enrico,Grignani,1975-06-05,M,ASCOLI PICENO,GRGCLS55H08A462P,MZZGDI58E28A271U,PLLMGH76B05D223B
GRGPLM74B26A462G,Palma,Grignani,1974-02-26,F,ASCOLI PICENO,GRGCLS55H08A462P,MZZGDI58E28A271U,LAOLLD77A31L736D
GRGLPA78M08A462N,Lapo,Grignani,1978-08-08,M,ASCOLI PICENO,GRGCLS55H08A462P,MZZGDI58E28A271U,LFNLND75R18G999O
GRGCLD75S12A462M,Claudia,Grignani,1975-11-12,F,ASCOLI PICENO,GRGCLS55H08A462P,MZZGDI58E28A271U,GRGVTI77B24A462P
GRGRGN74C26A462Z,Regina,Grignani,1974-03-26,F,ASCOLI PICENO,GRGCLS55H08A462P,MZZGDI58E28A271U,GNMRSR75P02M082S
LAOFTN76C31L736U,Faustino,Lao,1976-03-31,M,VENEZIA,LAOQRN55A04L736W,MZZMSM55T23A271Z,GNMCHR78M28M082Q
LAOLDN78C09L736N,Aldino,Lao,1978-03-09,M,VENEZIA,LAOQRN55A04L736W,MZZMSM55T23A271Z,GRGLSU77B15A462S
LAOSDR77L01L736B,Isidora,Lao,1977-07-01,F,VENEZIA,LAOQRN55A04L736W,MZZMSM55T23A271Z,GNMWTR75C18M082Q
LAORNN78B24L736R,Rosanna,Lao,1978-02-24,F,VENEZIA,LAOQRN55A04L736W,MZZMSM55T23A271Z,
LAOLBR77H27L736T,Lamberto,Lao,1977-06-27,M,VENEZIA,LAOQRN55A04L736W,MZZMSM55T23A271Z,SCSPLM83H02B745G
LAOPRZ75P02L736J,Patrizio,Lao,1975-09-02,M,VENEZIA,LAOQRN55A04L736W,MZZMSM55T23A271Z,PLLGAI75B10D223W
RGNDNT76L31F952M,Donata,Aragni,1976-07-31,F,NOVARA,RGNFNN46B13F952B,MZZTRS56E07A271M,GNMFBN77L04M082X
RGNLRT75B05F952N,Alberto,Aragni,1975-02-05,M,NOVARA,RGNFNN46B13F952B,MZZTRS56E07A271M,SCSTMS83C27B745G
RGNCST74B26F952L,Cristiano,Aragni,1974-02-26,M,NOVARA,RGNFNN46B13F952B,MZZTRS56E07A271M,GRGDLB78A13A462F
RGNLVS76H03F952A,Alvise,Aragni,1976-06-03,M,NOVARA,RGNFNN46B13F952B,MZZTRS56E07A271M,GNMSRG75L27M082T
RGNVVN75M03F952F,Viviana,Aragni,1975-08-03,F,NOVARA,RGNFNN46B13F952B,MZZTRS56E07A271M,GLLGPP82D25G713Y
RGNVTT77M07F952B,Vanetta,Aragni,1977-08-07,F,NOVARA,RGNFNN46B13F952B,MZZTRS56E07A271M,LFNDRN75T02G999V
RGNMSM73S26F952Z,Massimiliana,Aragni,1973-11-26,F,NOVARA,RGNFNN46B13F952B,MZZTRS56E07A271M,PLLGDE75C12D223H
SCSRNR82T06B745J,Raniero,Sciasci,1982-12-06,M,CARBONIA,SCSPIO59M18B745N,LAOMLD58D26L736V,MZZSDR77B04A271X
SCSLVR78S29B745D,Alvaro,Sciasci,1978-11-29,M,CARBONIA,SCSPIO59M18B745N,LAOMLD58D26L736V,GNMGTV75C04M082T
SCSPLM83H02B745G,Palma,Sciasci,1983-06-02,F,CARBONIA,SCSPIO59M18B745N,LAOMLD58D26L736V,LAOLBR77H27L736T
SCSSMN82C30B745K,Simona,Sciasci,1982-03-30,F,CARBONIA,SCSPIO59M18B745N,LAOMLD58D26L736V,LAOCLD78R22L736G
SCSCML81L08B745F,Carmelo,Sciasci,1981-07-08,M,CARBONIA,SCSPIO59M18B745N,LAOMLD58D26L736V,SCSRCE82B25B745T
SCSRGR83C29B745E,Ruggera,Sciasci,1983-03-29,F,CARBONIA,SCSPIO59M18B745N,LAOMLD58D26L736V,GRGLEO76T21A462K
LFNRML77C23G999O,Romolo,Lafiandra,1977-03-23,M,PRATO,LFNGCH43S25G999N,LAOFMN57H13L736M,LFNTZN64D30G999P
LFNLNI76A20G999W,Ilenia,Lafiandra,1976-01-20,F,PRATO,LFNGCH43S25G999N,LAOFMN57H13L736M,GNMJCP77H28M082H
GRGSRL77T14A462W,Esmeralda,Grignani,1977-12-14,F,ASCOLI PICENO,GRGVNI55A04A462O,LAORCE54E14L736T,GNMDNA76S27M082T
GRGSNL77H07A462S,Serenella,Grignani,1977-06-07,F,ASCOLI PICENO,GRGVNI55A04A462O,LAORCE54E14L736T,GNMFPP75R09M082Q
GRGLSU77B15A462S,Luisa,Grignani,1977-02-15,F,ASCOLI PICENO,GRGVNI55A04A462O,LAORCE54E14L736T,LAOLDN78C09L736N
PLLGGN80L28D223J,Gigino,Pallitto,1980-07-28,M,OSSOLA,PLLBND56R27D223B,SCSVNC63H11B745K,PLLRFL78R27D223Y
GLLGPP82D25G713Y,Giuseppe,Galliazzo,1982-04-25,M,PISTOIA,GLLGLI55D18G713U,SCSNRN61H04B745H,RGNVVN75M03F952F
GLLLLE83A12G713F,Lelio,Galliazzo,1983-01-12,M,PISTOIA,GLLGLI55D18G713U,SCSNRN61H04B745H,SCSNLT83E28B745T
GLLLLN79B17G713D,Liliana,Galliazzo,1979-02-17,F,PISTOIA,GLLGLI55D18G713U,SCSNRN61H04B745H,LFNCSR64L12G999Q
LAOLLD77A31L736D,Leopoldo,Lao,1977-01-31,M,VENEZIA,LAOPTR53T11L736I,GNMDGS43A31M082U,GRGPLM74B26A462G
PLLRCC78M16D223O,Rocco,Pallitto,1978-08-16,M,OSSOLA,PLLZNE57P03D223K,GNMCTL43A27M082B,MZZGVF77S23A271O
PLLGAI75B10D223W,Gaia,Pallitto,1975-02-10,F,OSSOLA,PLLZNE57P03D223K,GNMCTL43A27M082B,LAOPRZ75P02L736J
